Номер;Время отк;Время зак.;Бот;Инструмент;Напр.;Состояние;Объём;Текущий;Ожидает;Цена входа;Цена выхода;Прибыль;Стоп Активация;Стоп Цена;Профит Активация;Профит цена;Тип Сигнала на Открытие;Тип Сигнала на Закрытие
1534;08.04.2025 17:09:00;08.04.2025 17:15:00;11 MyNewBot1tab1;UsdNok.txt;Buy;Done;91883,006222;0,000000;0;10,8632;10,8618;-128,636209;0;0;0;0;IndexDeviation;IndexQuality
1538;08.04.2025 17:12:00;08.04.2025 17:15:00;3 MyNewBot1tab1;UsdDkk.txt;Sell;Done;145919,301734;0,000000;0;6,84033;6,83508;766,076334;0;0;0;0;IndexDeviation;IndexQuality
1535;08.04.2025 17:10:00;08.04.2025 17:15:00;0 MyNewBot1tab1;UsdCad.txt;Buy;Done;705686,017119;0,000000;0;1,4142;1,41455;246,990106;0;0;0;0;IndexDeviation;IndexQuality
1537;08.04.2025 17:11:00;08.04.2025 17:14:00;5 MyNewBot1tab1;UsdHuf.txt;Sell;Done;2678,932535;0,000000;0;372,59;372,49;267,893;0;0;0;0;IndexDeviation;IndexDeviationExit
1536;08.04.2025 17:10:00;08.04.2025 17:12:00;12 MyNewBot1tab1;UsdPln.txt;Buy;Done;255110,022286;0,000000;0;3,91363;3,9168;808,69877;0;0;0;0;IndexDeviation;IndexDeviationExit
1532;08.04.2025 17:01:00;08.04.2025 17:03:00;17 MyNewBot1tab1;UsdZar.txt;Buy;Done;51292,761311;0,000000;0;19,48301;19,4892;317,50219;0;0;0;0;IndexDeviation;IndexQuality
1531;08.04.2025 17:00:00;08.04.2025 17:03:00;11 MyNewBot1tab1;UsdNok.txt;Sell;Done;91939,837366;0,000000;0;10,8655;10,85903;594,850748;0;0;0;0;IndexDeviation;IndexQuality
1530;08.04.2025 16:59:00;08.04.2025 17:03:00;7 MyNewBot1tab1;UsdJpy.txt;Sell;Done;6780,914047;0,000000;0;147,327;147,43;-698,4341;0;0;0;0;IndexDeviation;IndexQuality
1533;08.04.2025 17:01:00;08.04.2025 17:03:00;1 MyNewBot1tab1;UsdChf.txt;Sell;Done;1167166,513953;0,000000;0;0,85591;0,85679;-1027,106532;0;0;0;0;IndexDeviation;IndexQuality
1529;08.04.2025 16:58:00;08.04.2025 17:00:00;0 MyNewBot1tab1;UsdCad.txt;Sell;Done;705278,636637;0,000000;0;1,41631;1,41634;-21,158359;0;0;0;0;IndexDeviation;IndexDeviationExit
1519;08.04.2025 16:14:00;08.04.2025 16:57:00;16 MyNewBot1tab1;UsdUah.txt;Buy;Done;24267,612776;0,000000;0;41,0807;41,0807;0;0;0;0;0;IndexDeviation;IndexQuality
1522;08.04.2025 16:17:00;08.04.2025 16:57:00;9 MyNewBot1tab1;UsdMdl.txt;Buy;Done;56708,220715;0,000000;0;17,58;17,58;0;0;0;0;0;IndexDeviation;IndexQuality
1525;08.04.2025 16:23:00;;2 MyNewBot1tab1;UsdCny.txt;Sell;Done;135877,132366;0,000000;0;7,3369;7,3369;0;0;0;0;0;IndexDeviation;IndexQuality
1527;08.04.2025 16:20:00;08.04.2025 16:22:00;5 MyNewBot1tab1;UsdHuf.txt;Buy;Done;2688,288864;0,000000;0;371,22;371,24;53,766;0;0;0;0;IndexDeviation;IndexQuality
